x,y,edition_count,geo_tiff_count,tile_id
69,-34,2,2,3369
69,-35,1,1,3469
69,-36,3,3,3569
69,-37,3,3,3669
69,-38,6,6,3769
69,-39,7,7,3869
69,-40,7,7,3969
69,-41,6,6,4069
69,-42,7,7,4169
69,-43,4,4,4269
69,-44,6,6,4369
69,-45,5,5,4469
69,-46,4,4,4569
69,-47,4,4,4669
69,-48,6,5,4769
69,-49,5,4,4869
69,-50,5,5,4969
69,-51,5,5,5069
69,-52,4,4,5169
69,-53,4,4,5269
69,-54,4,4,5369
69,-55,6,6,5469
69,-56,4,4,5569
69,-57,6,6,5669
69,-58,7,7,5769
69,-59,6,5,5869
69,-60,7,7,5969
69,-61,5,5,6069
69,-62,6,6,6169
69,-63,2,2,6269
69,-64,1,1,6369
69,-65,2,2,6469
69,-66,3,3,6569
69,-67,3,3,6669
69,-68,4,4,6769
69,-69,2,2,6869
69,-70,1,1,6969
69,-71,1,1,7069
69,-72,1,1,7169
69,-78,1,1,7769
70,-30,2,2,2970
70,-31,3,3,3070
70,-32,2,2,3170
70,-33,2,2,3270
70,-34,2,2,3370
70,-35,1,1,3470
70,-36,2,2,3570
70,-37,3,3,3670
70,-38,3,3,3770
70,-39,6,6,3870
70,-40,7,7,3970
70,-41,7,7,4070
70,-42,6,6,4170
70,-43,5,5,4270
70,-44,6,6,4370
70,-45,3,3,4470
70,-46,5,5,4570
70,-47,8,8,4670
70,-48,4,3,4770
70,-49,4,3,4870
70,-50,4,4,4970
70,-51,5,5,5070
70,-52,4,4,5170
70,-53,4,4,5270
70,-54,3,3,5370
70,-55,6,6,5470
70,-56,6,6,5570
70,-57,5,5,5670
70,-58,5,5,5770
70,-59,6,6,5870
70,-66,1,1,6570
70,-67,1,1,6670
70,-68,2,2,6770
70,-69,1,1,6870
70,-70,1,1,6970
70,-71,1,1,7070
70,-72,1,1,7170
71,-30,1,1,2971
71,-31,2,2,3071
71,-32,3,3,3171
71,-33,3,3,3271
71,-34,1,1,3371
